question_id,subject_name,unit_number,topic_name,question_text,difficulty_level,requires_diagram,marks
70,Operating System,4,Page Replacement,Explain LRU page replacement.,Medium,No,3
71,Operating System,4,Page Replacement,Explain optimal page replacement.,Hard,No,5
72,Operating System,4,Memory Allocation,What is memory allocation?,Easy,No,1
73,Operating System,4,Memory Allocation,Explain memory allocation with example.,Medium,No,3

74,Operating System,5,I/O System,What is i/o system?,Easy,Yes,1
75,Operating System,5,I/O System,Explain i/o system with example.,Medium,No,3
76,Operating System,5,I/O System,What is buffering in OS?,Easy,No,2
77,Operating System,5,I/O System,What is spooling?,Medium,No,3
78,Operating System,5,I/O System,What is device driver?,Easy,No,2
79,Operating System,5,I/O System,What is interrupt?,Easy,No,2
80,Operating System,5,I/O System,Explain DMA (Direct Memory Access).,Medium,Yes,3
81,Operating System,5,I/O System,What is polling in OS?,Medium,No,3
82,Operating System,5,Disk Scheduling,What is disk scheduling?,Easy,No,1
83,Operating System,5,Disk Scheduling,Explain disk scheduling with example.,Medium,No,3
84,Operating System,5,Disk Scheduling,What is SSTF scheduling?,Medium,No,3
85,Operating System,5,Disk Scheduling,What is SCAN algorithm?,Medium,Yes,3
86,Operating System,5,Disk Scheduling,What is C-SCAN algorithm?,Medium,Yes,3
87,Operating System,5,Disk Scheduling,Compare SCAN and SSTF.,Hard,Yes,5
88,Operating System,5,RAID,What is raid?,Easy,No,1
89,Operating System,5,RAID,Explain raid with example.,Medium,No,3
90,Operating System,5,File System,What is file system?,Easy,No,1
91,Operating System,5,File System,Explain file system with example.,Medium,No,3
92,Operating System,5,File System,What is file descriptor?,Medium,No,3
93,Operating System,5,File System,What are file operations?,Easy,No,2
94,Operating System,5,File System,What is file access method?,Medium,No,3
95,Operating System,5,File System,What is sequential file access?,Easy,No,2
96,Operating System,5,File System,What is direct file access?,Medium,No,3
97,Operating System,5,File System,What is indexed file allocation?,Hard,Yes,5
98,Operating System,5,File System,What is contiguous file allocation?,Medium,No,3
99,Operating System,5,Directory,What is directory?,Easy,No,1
100,Operating System,5,Directory,Explain directory with example.,Medium,No,3
